"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de produits laitiers (NAF rév. 2, niveau groupe, poste 10.5)";"Codes"
"idBank";"010537262";""
"Dernière mise à jour";"05/04/2022 08:45";""
"Période";"";""
"2022-02";"97.27";"A"
"2022-01";"96.49";"A"
"2021-12";"95.28";"A"
"2021-11";"97.09";"A"
"2021-10";"96.95";"A"
"2021-09";"96.92";"A"
"2021-08";"96.61";"A"
"2021-07";"99.0";"A"
"2021-06";"95.65";"A"
"2021-05";"96.94";"A"
"2021-04";"97.55";"A"
"2021-03";"98.67";"A"
"2021-02";"96.27";"A"
"2021-01";"96.85";"A"
"2020-12";"95.74";"A"
"2020-11";"97.5";"A"
"2020-10";"97.01";"A"
"2020-09";"96.63";"A"
"2020-08";"95.82";"A"
"2020-07";"98.35";"A"
"2020-06";"99.72";"A"
"2020-05";"95.58";"A"
"2020-04";"94.9";"A"
"2020-03";"95.36";"A"
"2020-02";"96.74";"A"
"2020-01";"98.19";"A"
"2019-12";"97.64";"A"
"2019-11";"98.11";"A"
"2019-10";"98.27";"A"
"2019-09";"99.47";"A"
"2019-08";"98.33";"A"
"2019-07";"96.6";"A"
"2019-06";"98.07";"A"
"2019-05";"100.65";"A"
"2019-04";"99.24";"A"
"2019-03";"97.38";"A"
"2019-02";"98.4";"A"
"2019-01";"97.81";"A"
"2018-12";"99.62";"A"
"2018-11";"96.75";"A"
"2018-10";"97.29";"A"
"2018-09";"97.76";"A"
"2018-08";"96.77";"A"
"2018-07";"98.13";"A"
"2018-06";"98.29";"A"
"2018-05";"99.47";"A"
"2018-04";"98.37";"A"
"2018-03";"100.43";"A"
"2018-02";"98.85";"A"
"2018-01";"98.82";"A"
"2017-12";"98.8";"A"
"2017-11";"100.29";"A"
"2017-10";"100.8";"A"
"2017-09";"99.79";"A"
"2017-08";"101.12";"A"
"2017-07";"99.9";"A"
"2017-06";"99.32";"A"
"2017-05";"99.17";"A"
"2017-04";"100.21";"A"
"2017-03";"100.31";"A"
"2017-02";"99.85";"A"
"2017-01";"99.55";"A"
"2016-12";"99.57";"A"
"2016-11";"100.91";"A"
"2016-10";"98.19";"A"
"2016-09";"99.23";"A"
"2016-08";"99.7";"A"
"2016-07";"101.26";"A"
"2016-06";"100.52";"A"
"2016-05";"98.96";"A"
"2016-04";"99.85";"A"
"2016-03";"99.68";"A"
"2016-02";"101.35";"A"
"2016-01";"101.38";"A"
"2015-12";"100.87";"A"
"2015-11";"101.03";"A"
"2015-10";"101.93";"A"
"2015-09";"101.21";"A"
"2015-08";"101.29";"A"
"2015-07";"100.12";"A"
"2015-06";"100.07";"A"
"2015-05";"100.19";"A"
"2015-04";"99.27";"A"
"2015-03";"98.36";"A"
"2015-02";"98.96";"A"
"2015-01";"96.7";"A"
"2014-12";"101.1";"A"
"2014-11";"98.31";"A"
"2014-10";"98.85";"A"
"2014-09";"103.59";"A"
"2014-08";"101.99";"A"
"2014-07";"102.64";"A"
"2014-06";"102.03";"A"
"2014-05";"103.25";"A"
"2014-04";"102.6";"A"
"2014-03";"103.07";"A"
"2014-02";"100.77";"A"
"2014-01";"101.59";"A"
"2013-12";"102.35";"A"
"2013-11";"100.13";"A"
"2013-10";"100.57";"A"
"2013-09";"100.35";"A"
"2013-08";"100.71";"A"
"2013-07";"99.38";"A"
"2013-06";"100.35";"A"
"2013-05";"104.65";"A"
"2013-04";"101.79";"A"
"2013-03";"98.76";"A"
"2013-02";"99.17";"A"
"2013-01";"99.5";"A"
"2012-12";"97.39";"A"
"2012-11";"97.68";"A"
"2012-10";"98.56";"A"
"2012-09";"97.53";"A"
"2012-08";"97.79";"A"
"2012-07";"96.53";"A"
"2012-06";"97.57";"A"
"2012-05";"97.88";"A"
"2012-04";"98.04";"A"
"2012-03";"97.1";"A"
"2012-02";"97.58";"A"
"2012-01";"96.37";"A"
"2011-12";"96.08";"A"
"2011-11";"101.14";"A"
"2011-10";"96.19";"A"
"2011-09";"95.74";"A"
"2011-08";"97.72";"A"
"2011-07";"98.3";"A"
"2011-06";"97.35";"A"
"2011-05";"93.32";"A"
"2011-04";"96.8";"A"
"2011-03";"97.48";"A"
"2011-02";"97.8";"A"
"2011-01";"96.48";"A"
"2010-12";"96.33";"A"
"2010-11";"98.91";"A"
"2010-10";"98.48";"A"
"2010-09";"97.62";"A"
"2010-08";"95.27";"A"
